Activity_ActivityIdentifier,Site_Abb,Activity_StartDate,variable,G_value,mine_value,difference_G_minus_mine,issue
54d665f1-778c-4c8c-9bbe-b9ffc017fb25,"Maple Creek, NE",2013-05-06,pH,,8.2,,mine missing (G has value)
751137f1-a8ca-4dfe-95de-ecd834d2f411,"Maple Creek, NE",2013-05-14,Dissolved_Oxygen_mg_L,,11.8,,mine missing (G has value)
751137f1-a8ca-4dfe-95de-ecd834d2f411,"Maple Creek, NE",2013-05-14,Specific_Conductance,,681.0,,mine missing (G has value)
751137f1-a8ca-4dfe-95de-ecd834d2f411,"Maple Creek, NE",2013-05-14,Water_Temperature_C,,21.5,,mine missing (G has value)
751137f1-a8ca-4dfe-95de-ecd834d2f411,"Maple Creek, NE",2013-05-14,pH,,8.3,,mine missing (G has value)
8f511748-9cd5-4275-a853-7126307ab95a,"Maple Creek, NE",2013-05-21,Dissolved_Oxygen_mg_L,,7.0,,mine missing (G has value)
8f511748-9cd5-4275-a853-7126307ab95a,"Maple Creek, NE",2013-05-21,Specific_Conductance,,495.0,,mine missing (G has value)
8f511748-9cd5-4275-a853-7126307ab95a,"Maple Creek, NE",2013-05-21,Water_Temperature_C,,14.9,,mine missing (G has value)
8f511748-9cd5-4275-a853-7126307ab95a,"Maple Creek, NE",2013-05-21,pH,,7.8,,mine missing (G has value)
a6a3981a-4fc6-4985-8686-77cdcbc1ee4b,"Maple Creek, NE",2013-06-03,Dissolved_Oxygen_mg_L,,8.1,,mine missing (G has value)
a6a3981a-4fc6-4985-8686-77cdcbc1ee4b,"Maple Creek, NE",2013-06-03,Specific_Conductance,,803.0,,mine missing (G has value)
a6a3981a-4fc6-4985-8686-77cdcbc1ee4b,"Maple Creek, NE",2013-06-03,Water_Temperature_C,,21.7,,mine missing (G has value)
a6a3981a-4fc6-4985-8686-77cdcbc1ee4b,"Maple Creek, NE",2013-06-03,pH,,8.2,,mine missing (G has value)
87e3c7ed-83ef-4b36-9972-acd7e88f5700,"Maple Creek, NE",2013-06-10,Dissolved_Oxygen_mg_L,,7.7,,mine missing (G has value)
87e3c7ed-83ef-4b36-9972-acd7e88f5700,"Maple Creek, NE",2013-06-10,Specific_Conductance,,416.0,,mine missing (G has value)
87e3c7ed-83ef-4b36-9972-acd7e88f5700,"Maple Creek, NE",2013-06-10,Water_Temperature_C,,20.8,,mine missing (G has value)
87e3c7ed-83ef-4b36-9972-acd7e88f5700,"Maple Creek, NE",2013-06-10,pH,,7.6,,mine missing (G has value)
7e58c2dc-16ed-4c92-a689-eb0abc525b2f,"Maple Creek, NE",2013-06-17,Dissolved_Oxygen_mg_L,,6.7,,mine missing (G has value)
7e58c2dc-16ed-4c92-a689-eb0abc525b2f,"Maple Creek, NE",2013-06-17,Specific_Conductance,,752.0,,mine missing (G has value)
7e58c2dc-16ed-4c92-a689-eb0abc525b2f,"Maple Creek, NE",2013-06-17,Water_Temperature_C,,29.9,,mine missing (G has value)
7e58c2dc-16ed-4c92-a689-eb0abc525b2f,"Maple Creek, NE",2013-06-17,pH,,8.2,,mine missing (G has value)
7e113f78-24b6-40f9-ba4f-fb744d158ec8,"Maple Creek, NE",2013-06-24,Dissolved_Oxygen_mg_L,,7.2,,mine missing (G has value)
7e113f78-24b6-40f9-ba4f-fb744d158ec8,"Maple Creek, NE",2013-06-24,Specific_Conductance,,658.0,,mine missing (G has value)
7e113f78-24b6-40f9-ba4f-fb744d158ec8,"Maple Creek, NE",2013-06-24,Water_Temperature_C,,22.6,,mine missing (G has value)
7e113f78-24b6-40f9-ba4f-fb744d158ec8,"Maple Creek, NE",2013-06-24,pH,,8.2,,mine missing (G has value)
f57c8fce-fee3-470c-be89-7e83028b0109,"Maple Creek, NE",2013-07-08,Dissolved_Oxygen_mg_L,,8.8,,mine missing (G has value)
f57c8fce-fee3-470c-be89-7e83028b0109,"Maple Creek, NE",2013-07-08,Specific_Conductance,,660.0,,mine missing (G has value)
f57c8fce-fee3-470c-be89-7e83028b0109,"Maple Creek, NE",2013-07-08,Water_Temperature_C,,28.0,,mine missing (G has value)
f57c8fce-fee3-470c-be89-7e83028b0109,"Maple Creek, NE",2013-07-08,pH,,8.3,,mine missing (G has value)
dcd009a9-eb8a-460a-a2be-88360d32cff5,"Maple Creek, NE",2013-07-15,Dissolved_Oxygen_mg_L,,7.8,,mine missing (G has value)
dcd009a9-eb8a-460a-a2be-88360d32cff5,"Maple Creek, NE",2013-07-15,Specific_Conductance,,636.0,,mine missing (G has value)
dcd009a9-eb8a-460a-a2be-88360d32cff5,"Maple Creek, NE",2013-07-15,Water_Temperature_C,,26.8,,mine missing (G has value)
dcd009a9-eb8a-460a-a2be-88360d32cff5,"Maple Creek, NE",2013-07-15,pH,,8.3,,mine missing (G has value)
d64c9a55-cc53-4da8-ba66-a4a0c5d297f0,"Maple Creek, NE",2013-07-22,Dissolved_Oxygen_mg_L,,9.5,,mine missing (G has value)
d64c9a55-cc53-4da8-ba66-a4a0c5d297f0,"Maple Creek, NE",2013-07-22,Specific_Conductance,,561.0,,mine missing (G has value)
d64c9a55-cc53-4da8-ba66-a4a0c5d297f0,"Maple Creek, NE",2013-07-22,Water_Temperature_C,,28.8,,mine missing (G has value)
d64c9a55-cc53-4da8-ba66-a4a0c5d297f0,"Maple Creek, NE",2013-07-22,pH,,8.2,,mine missing (G has value)
f013dbe4-8316-48e8-bb92-b73ceaf95703,"Maple Creek, NE",2013-07-29,Dissolved_Oxygen_mg_L,,8.9,,mine missing (G has value)
f013dbe4-8316-48e8-bb92-b73ceaf95703,"Maple Creek, NE",2013-07-29,Specific_Conductance,,558.0,,mine missing (G has value)
f013dbe4-8316-48e8-bb92-b73ceaf95703,"Maple Creek, NE",2013-07-29,Water_Temperature_C,,20.4,,mine missing (G has value)
f013dbe4-8316-48e8-bb92-b73ceaf95703,"Maple Creek, NE",2013-07-29,pH,,8.3,,mine missing (G has value)
379ebae4-00cd-40c6-ad1b-01f2f78b5e3f,"Maple Creek, NE",2013-08-05,Dissolved_Oxygen_mg_L,,7.6,,mine missing (G has value)
379ebae4-00cd-40c6-ad1b-01f2f78b5e3f,"Maple Creek, NE",2013-08-05,Specific_Conductance,,493.0,,mine missing (G has value)
379ebae4-00cd-40c6-ad1b-01f2f78b5e3f,"Maple Creek, NE",2013-08-05,Water_Temperature_C,,22.1,,mine missing (G has value)
