Site_Abb,Water_Year,Discharge_cfs,Water_Temperature_C,Dissolved_Oxygen_mg_L,pH,Specific_Conductance,Turbidity_FNU,Turbidity_NTU,Q_daily_mean_cfs
"Yellow. R, MT",2017,100.0,100.0,100.0,100.0,100.0,71.4,0.0,100.0
"Yellow. R, MT",2018,100.0,100.0,100.0,100.0,100.0,64.3,0.0,100.0
"Yellow. R, MT",2019,100.0,100.0,100.0,100.0,100.0,78.6,0.0,100.0
"Yellow. R, MT",2020,100.0,100.0,100.0,100.0,100.0,69.2,0.0,100.0
"Yellow. R, MT",2021,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0
"Yellow. R, MT",2022,100.0,100.0,100.0,100.0,100.0,71.4,0.0,100.0
"Zoll. Creek, OR",2013,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0
"Zoll. Creek, OR",2014,100.0,100.0,100.0,100.0,100.0,4.2,0.0,100.0
"Zoll. Creek, OR",2015,100.0,93.5,90.3,90.3,90.3,3.2,0.0,100.0
"Zoll. Creek, OR",2016,100.0,100.0,95.8,100.0,100.0,66.7,0.0,100.0
"Zoll. Creek, OR",2017,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
"Zoll. Creek, OR",2018,100.0,100.0,100.0,43.5,100.0,100.0,0.0,100.0
"Zoll. Creek, OR",2019,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
"Zoll. Creek, OR",2020,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
"Zoll. Creek, OR",2021,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
"Zoll. Creek, OR",2022,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
